list,max_key,u_rate,rq_rate,wrk_threads,rq_threads,rq_size,u_latency,c_latency,rq_latency,tot_thruput,u_thruput,c_thruput,rq_thruput,rq_len,avg_in_announce,avg_in_bags,reachable_nodes,avg_bundle_size
citrus-bundle,100000,0.00,100.00,96,0,50,0,0,4503,22045889,0,0,22045889,25,0,0,50357,1.17
citrus-lockfree,100000,0.00,100.00,1,0,50,0,0,2298,624826,0,0,624826,24,0,0,0,0.00
citrus-lockfree,100000,0.00,100.00,16,0,50,0,0,2941,5605757,0,0,5605757,24,0,45,0,0.00
citrus-lockfree,100000,0.00,100.00,32,0,50,0,0,5655,5541225,0,0,5541225,24,0,93,0,0.00
citrus-lockfree,100000,0.00,100.00,48,0,50,0,0,8489,5310025,0,0,5310025,25,0,141,0,0.00
citrus-lockfree,100000,0.00,100.00,64,0,50,0,0,11812,5612434,0,0,5612434,25,0,189,0,0.00
citrus-lockfree,100000,0.00,100.00,80,0,50,0,0,18381,5254702,0,0,5254702,25,0,237,0,0.00
citrus-lockfree,100000,0.00,100.00,96,0,50,0,0,19001,4725491,0,0,4725491,25,0,285,0,0.00
citrus-bundle,100000,0.20,98.00,1,0,50,1133,438,3069,391236,756,34135,383653,24,0,0,49980,1.17
citrus-bundle,100000,0.20,98.00,16,0,50,1167,472,2819,6022328,11922,531620,5904082,24,0,0,49777,1.17
citrus-bundle,100000,0.20,98.00,32,0,50,1481,591,3563,9659634,19193,849955,9470450,25,0,0,50383,1.17
citrus-bundle,100000,0.20,98.00,48,0,50,1788,666,3989,12165483,24491,1069805,11927031,25,0,0,50046,1.17
citrus-bundle,100000,0.20,98.00,64,0,50,1934,661,3798,17168453,34437,1512925,16831431,25,0,0,50109,1.17
citrus-bundle,100000,0.20,98.00,80,0,50,2309,833,5286,17528448,35220,1541000,17185028,25,0,0,50130,1.17
citrus-bundle,100000,0.20,98.00,96,0,50,2376,884,4744,20578193,41307,1812490,20174388,25,0,0,49770,1.17
citrus-lockfree,100000,0.20,98.00,1,0,50,603,315,2281,636949,1280,56395,624390,24,0,0,0,0.00
citrus-lockfree,100000,0.20,98.00,16,0,50,656,370,2959,5781141,11682,508790,5667701,24,0,45,0,0.00
citrus-lockfree,100000,0.20,98.00,32,0,50,1064,599,5813,5600588,11228,493965,5490567,25,0,91,0,0.00
citrus-lockfree,100000,0.20,98.00,48,0,50,1305,768,8899,5243096,10345,462160,5140319,25,0,141,0,0.00
citrus-lockfree,100000,0.20,98.00,64,0,50,2177,952,10682,5916990,11861,521020,5800925,24,0,189,0,0.00
citrus-lockfree,100000,0.20,98.00,80,0,50,3250,1313,18564,5016896,9979,442310,4918455,24,0,237,0,0.00
citrus-lockfree,100000,0.20,98.00,96,0,50,4585,2161,23969,4557780,9075,401370,4468431,25,0,285,0,0.00
citrus-bundle,100000,1.00,90.00,1,0,50,962,443,3343,417775,4174,185640,376473,24,0,0,49962,1.17
citrus-bundle,100000,1.00,90.00,16,0,50,1108,467,2997,6395893,63796,2845510,5762995,25,0,0,49925,1.17
citrus-bundle,100000,1.00,90.00,32,0,50,1346,557,3348,10304748,103193,4583320,9284891,25,0,0,49837,1.17
citrus-bundle,100000,1.00,90.00,48,0,50,1599,614,4020,13001609,130551,5786515,11713755,25,0,0,50026,1.17
citrus-bundle,100000,1.00,90.00,64,0,50,1804,616,3684,18130423,181581,8064740,16335894,24,0,0,49812,1.17
citrus-bundle,100000,1.00,90.00,80,0,50,2055,712,4205,20170638,201860,8974340,18173910,25,0,0,49823,1.17
citrus-bundle,100000,1.00,90.00,96,0,50,2088,721,4649,22873123,228606,10170290,20610459,25,0,0,50090,1.17
citrus-lockfree,100000,1.00,90.00,1,0,50,505,316,2201,680783,6818,302125,613540,24,0,0,0,0.00
citrus-lockfree,100000,1.00,90.00,16,0,50,604,375,2974,6085477,61198,2703935,5483492,25,0,45,0,0.00
citrus-lockfree,100000,1.00,90.00,32,0,50,954,579,5737,5977988,59664,2659595,5386405,25,0,93,0,0.00
citrus-lockfree,100000,1.00,90.00,48,0,50,1201,707,8713,5644101,56500,2510815,5085438,24,0,141,0,0.00
citrus-lockfree,100000,1.00,90.00,64,0,50,2467,939,11411,6115312,61398,2721050,5509704,24,0,189,0,0.00
citrus-lockfree,100000,1.00,90.00,80,0,50,2908,1142,17308,5687788,56698,2528200,5125450,24,0,237,0,0.00
citrus-lockfree,100000,1.00,90.00,96,0,50,3633,1676,23949,5333474,53344,2373225,4805485,24,0,285,0,0.00
citrus-bundle,100000,2.00,80.00,1,0,50,895,441,3074,458137,9231,409915,366923,25,0,0,50155,1.17
citrus-bundle,100000,2.00,80.00,16,0,50,1043,462,2872,7070214,141774,6330585,5662323,25,0,0,50247,1.17
citrus-bundle,100000,2.00,80.00,32,0,50,1243,544,3402,11354950,227621,10161650,9094999,25,0,0,49851,1.17
citrus-bundle,100000,2.00,80.00,48,0,50,1463,591,3744,14203931,284221,12714400,11376830,25,0,0,49904,1.17
citrus-bundle,100000,2.00,80.00,64,0,50,1689,631,3694,19341036,387117,17315295,15490860,24,0,0,50097,1.17
citrus-bundle,100000,2.00,80.00,80,0,50,2028,900,5518,21571413,431765,19312655,17277117,25,0,0,50077,1.17
citrus-bundle,100000,2.00,80.00,96,0,50,3170,893,4880,23366619,467625,20925470,18713900,25,0,0,50027,1.17
citrus-lockfree,100000,2.00,80.00,1,0,50,433,324,1888,738361,14769,660910,591410,24,0,0,0,0.00
citrus-lockfree,100000,2.00,80.00,16,0,50,570,373,2932,6752400,135220,6038600,5409460,25,0,45,0,0.00
citrus-lockfree,100000,2.00,80.00,32,0,50,928,541,5851,6788775,136169,6077965,5437013,25,0,93,0,0.00
citrus-lockfree,100000,2.00,80.00,48,0,50,1215,645,8708,6214526,124717,5565855,4976638,25,0,141,0,0.00
citrus-lockfree,100000,2.00,80.00,64,0,50,2216,912,11561,6494325,130054,5813805,5201510,25,0,189,0,0.00
citrus-lockfree,100000,2.00,80.00,80,0,50,3192,1235,19093,5883157,117354,5259915,4713820,25,0,237,0,0.00
citrus-lockfree,100000,2.00,80.00,96,0,50,3599,1503,20212,5834293,116700,5217990,4673995,25,0,285,0,0.00
citrus-bundle,100000,5.00,50.00,1,0,50,782,482,3073,655197,32652,1473025,327940,24,0,0,50152,1.17
citrus-bundle,100000,5.00,50.00,16,0,50,893,474,2855,9894280,494956,22226405,4954043,24,0,0,49920,1.17
citrus-bundle,100000,5.00,50.00,32,0,50,1082,557,3362,16044112,801682,36052955,8031839,25,0,0,49900,1.17
citrus-bundle,100000,5.00,50.00,48,0,50,1292,690,3964,19647749,984393,44148220,9833712,24,0,0,50213,1.17
citrus-bundle,100000,5.00,50.00,64,0,50,1692,615,3815,25425277,1272996,57127865,12726708,24,0,0,49977,1.17
citrus-bundle,100000,5.00,50.00,80,0,50,1758,871,4142,29937019,1498900,67260700,14985979,25,0,0,50072,1.17
citrus-bundle,100000,5.00,50.00,96,0,50,1814,645,4119,33046232,1654019,74242535,16543706,25,0,0,50196,1.17
citrus-lockfree,100000,5.00,50.00,1,0,50,479,441,2456,1022063,51210,2294565,511940,24,0,0,0,0.00
citrus-lockfree,100000,5.00,50.00,16,0,50,540,375,2949,9810833,490634,22046390,4910921,25,0,45,0,0.00
citrus-lockfree,100000,5.00,50.00,32,0,50,786,505,5524,10444473,522508,23468720,5228221,24,0,93,0,0.00
citrus-lockfree,100000,5.00,50.00,48,0,50,991,596,8862,9626235,481977,21631385,4817981,24,0,130,0,0.00
citrus-lockfree,100000,5.00,50.00,64,0,50,2390,761,12380,9164513,459644,20588785,4587112,25,0,190,0,0.00
citrus-lockfree,100000,5.00,50.00,80,0,50,3458,797,16141,8464083,423246,19018325,4237172,25,0,238,0,0.00
citrus-lockfree,100000,5.00,50.00,96,0,50,3177,973,21079,8131661,407057,18270460,4070512,25,0,286,0,0.00
citrus-bundle,100000,8.00,20.00,1,0,50,604,411,2861,1165036,93371,4191060,233453,24,0,0,50116,1.17
citrus-bundle,100000,8.00,20.00,16,0,50,836,478,2881,17336344,1387647,62384120,3471873,25,0,0,50024,1.17
citrus-bundle,100000,8.00,20.00,32,0,50,1033,527,3400,27133684,2173670,97640110,5431992,25,0,0,50145,1.17
citrus-bundle,100000,8.00,20.00,48,0,50,1225,607,3800,33425915,2678051,120286225,6690619,25,0,0,50307,1.17
citrus-bundle,100000,8.00,20.00,64,0,50,1718,748,4181,38431562,3077955,138287250,7696157,24,0,0,50171,1.17
citrus-bundle,100000,8.00,20.00,80,0,50,2027,614,4322,42332147,3389922,152339355,8474354,24,0,0,50006,1.17
citrus-bundle,100000,8.00,20.00,96,0,50,2684,585,4331,49199115,3940048,177036445,9851778,25,0,0,50007,1.17
citrus-lockfree,100000,8.00,20.00,1,0,50,464,489,2063,1750230,140249,6296805,350620,25,0,0,0,0.00
citrus-lockfree,100000,8.00,20.00,16,0,50,533,386,3102,18050560,1446876,64951150,3613454,25,0,45,0,0.00
citrus-lockfree,100000,8.00,20.00,32,0,50,695,515,5527,21733975,1741227,78203675,4352013,25,0,94,0,0.00
citrus-lockfree,100000,8.00,20.00,48,0,50,805,515,8468,20943071,1677854,75355885,4194040,24,0,143,0,0.00
citrus-lockfree,100000,8.00,20.00,64,0,50,2261,543,14671,17562978,1406563,63194280,3517559,25,0,193,0,0.00
citrus-lockfree,100000,8.00,20.00,80,0,50,3338,611,20852,15960990,1278873,57438170,3194483,24,0,242,0,0.00
citrus-lockfree,100000,8.00,20.00,96,0,50,3408,637,24532,15272002,1222600,54960040,3057394,24,0,293,0,0.00
citrus-bundle,100000,9.00,10.00,1,0,50,601,607,2758,1641623,147926,6646655,164366,24,0,0,49878,1.17
citrus-bundle,100000,9.00,10.00,16,0,50,794,488,2839,23624087,2126648,95652770,2366885,25,0,0,50092,1.17
citrus-bundle,100000,9.00,10.00,32,0,50,977,599,3394,36422370,3282017,147470850,3646183,24,0,0,50213,1.17
citrus-bundle,100000,9.00,10.00,48,0,50,1124,588,3903,44652122,4024056,180786635,4470739,24,0,0,50395,1.17
citrus-bundle,100000,9.00,10.00,64,0,50,1754,950,4477,48491434,4369594,196330655,4855709,25,0,0,50153,1.17
citrus-bundle,100000,9.00,10.00,80,0,50,2090,800,4634,53990052,4864331,218593640,5406993,24,0,0,49825,1.17
citrus-bundle,100000,9.00,10.00,96,0,50,2742,600,4771,58473773,5268833,236752680,5854404,24,0,0,49984,1.17
citrus-lockfree,100000,9.00,10.00,1,0,50,380,331,1686,2324423,209563,9411020,232656,25,0,0,0,0.00
citrus-lockfree,100000,9.00,10.00,16,0,50,544,469,3276,25495625,2295843,103238620,2552058,25,0,46,0,0.00
citrus-lockfree,100000,9.00,10.00,32,0,50,664,445,5505,32533470,2929979,131734675,3256556,25,0,95,0,0.00
citrus-lockfree,100000,9.00,10.00,48,0,50,783,537,8635,33286138,2998248,134780510,3331788,25,0,145,0,0.00
citrus-lockfree,100000,9.00,10.00,64,0,50,1687,504,14954,28930605,2606122,117132495,2897984,25,0,197,0,0.00
citrus-lockfree,100000,9.00,10.00,80,0,50,2405,553,21445,26622979,2398695,107791535,2665977,24,0,246,0,0.00
